crema | f. Producto cosmético o medicinal de consistencia pastosa que se aplica generalmente sobre la piel.
café | m. Bebida que se hace por infusión con la semilla tostada y molida del cafeto.
estrella | f. Cada uno de los cuerpos celestes que brillan en la noche con luz propia.
explosión | f. Liberación brusca de energía que produce un incremento rápido de la presión, con desprendimiento de calor, luz y gases, y va acompañada de estruendo y rotura violenta del cuerpo que la contiene.
guitarra | f. Instrumento musical de cuerda compuesto por una caja de resonancia en forma de ocho, un mástil largo con trastes, y cuerdas, generalmente seis, que se hacen sonar con los dedos.
plástico | adj. Dicho de ciertos materiales sintéticos: Que pueden moldearse fácilmente y están compuestos principalmente por polímeros, como la celulosa.
navaja | f. Cuchillo cuya hoja puede doblarse sobre el mango para que el filo quede guardado entre las dos cachas o en una hendidura a propósito.
martillo | m. Herramienta de percusión compuesta de una cabeza, por lo común de hierro, y un mango, generalmente de madera.
libros | m. pl. Conjunto de muchas hojas de papel u otro material semejante que, encuadernadas, forman un volumen.
lápiz | m. Utensilio para escribir o dibujar formado por un cilindro o prisma de madera con una barra de grafito en su interior.
lapicera | f. Arg., Bol. y Ur. Pluma de escribir que lleva incorporado un depósito recargable o un cartucho para la tinta.
aluminio | m. Elemento químico metálico, de núm. atóm. 13, de color similar al de la plata, ligero, resistente y dúctil, muy abundante en la corteza terrestre, que tiene diversas aplicaciones industriales. (Símb. Al).
embarcación | f. Vehículo capaz de navegar por el agua propulsado por remo, vela o motor.
letra | f. Cada uno de los signos gráficos que componen el alfabeto de un idioma.
agujeta | f. Correa o cinta para sujetar algunas prendas de vestir.
ventana | f. Abertura en un muro o pared donde se coloca un elemento y que sirve generalmente para mirar y dar luz y ventilación.
librería | f. Tienda donde se venden libros.
sonido | m. Sensación producida en el órgano del oído por el movimiento vibratorio de los cuerpos, transmitido por un medio elástico, como el aire.
universidad | f. Institución de enseñanza superior que comprende diversas facultades, y que confiere los grados académicos correspondientes. Según las épocas y países puede comprender colegios, institutos, departamentos, centros de investigación, escuelas profesionales, etc. Universidad de Salamanca, universidades populares.
rueda | f. Pieza mecánica en forma de disco que gira alrededor de un eje.
perro | m. y f. Mamífero doméstico de la familia de los cánidos, de tamaño, forma y pelaje muy diversos, según las razas, que tiene olfato muy fino y es inteligente y muy leal a su dueño.
llaves | f. Instrumento, comúnmente metálico, que, introducido en una cerradura, permite activar el mecanismo que la abre y la cierra.
camisa | f. Prenda de vestir de tela que cubre el torso, abotonada por delante, generalmente con cuello y mangas.
pelo | m. Filamento cilíndrico, delgado, de naturaleza córnea, que nace y crece en la piel de algunos animales, especialmente los mamíferos.
papá | m. coloq. padre (varón).
sillón | m. Silla de brazos, mayor y más cómoda que la ordinaria.
felicidad | 1. f. Estado de grata satisfacción espiritual y física. 2. f. Persona, situación, objeto o conjunto de ellos que contribuyen a hacer feliz. Mi familia es mi felicidad.
catre | m. Cama ligera para una sola persona.
teclado | m. Conjunto de las teclas, los botones u otros dispositivos táctiles con los que se manejan diversos aparatos o máquinas.
servilleta | f. Pieza de tela o papel que usa cada comensal para limpiarse los labios y las manos.
escuela | f. Establecimiento o institución donde se dan o se reciben ciertos tipos de instrucción.
pantalla | 1. f. Lámina que se sujeta delante o alrededor de un foco luminoso artificial, para que la luz no moleste a los ojos o para dirigirla hacia donde se quiera. 2. f. En ciertos aparatos electrónicos, superficie donde aparecen imágenes.
sol | m. Estrella luminosa, centro del sistema planetario en que está situada la Tierra.
codo | m. Parte posterior y prominente de la articulación del brazo con el antebrazo.
tenedor | m. Instrumento de mesa en forma de horca, con dos o más púas y que sirve para comer alimentos sólidos.
